Id,SalePrice
2658,130221.1626710199
2718,178532.51359326343
2414,177037.7253821748
1989,120820.91966091536
625,187811.19096043514
333,91012.67351090471
1327,116439.77210260078
858,148431.27026281497
95,223322.70277424468
1568,148795.87734080592
2482,156599.92892337954
1364,98561.76514936492
2584,152860.6706652279
818,276702.70677646867
2673,113309.37055936964
2089,111287.83331774022
1297,145712.0636460906
790,120757.92070102374
2616,182649.01479274454
720,196490.194050764
222,137708.1742044771
557,130708.78309529489
1148,204070.0494100406
2766,166381.75370724872
534,183139.83193632128
1452,117656.09297981646
630,141229.34911603725
2648,117941.70682217967
125,159525.85509665933
1904,97800.40020167839
1670,108920.00282128445
756,98605.55762943768
717,275361.31784053607
1032,171623.49380646663
852,218705.70556174056
1731,169693.1140254451
2639,122049.56747965327
2071,96921.94589929919
1267,134749.01259338506
1851,188629.6366549051
567,159226.44810680614
2439,219870.20135647207
1898,152134.21749573274
647,130494.60912310492
2256,219632.24264558541
979,102812.47619340544
1444,220853.617872854
2485,115590.34943873827
157,140622.99662541784
88,124904.51786766753
2003,108862.51772728057
186,206125.716791966
1425,267011.0072200258
2695,126219.15365459156
738,95477.82327987679
395,148634.21851516177
1353,139584.77482101094
1878,126366.59301756544
390,154537.0129802043
1456,226941.6739314525
1103,325009.65169893205
1387,124827.72548504897
2070,165401.51147132483
1199,162393.4994427351
2479,167472.23367681823
501,337819.43949470663
2362,103098.59377828769
1718,211408.70994242598
2188,86121.29499473757
1483,141958.78081943968
2557,98083.46238422302
437,331657.4615750704
2224,211293.11554821988
1628,181519.17340006426
397,137280.42406996666
587,205135.3256517151
2182,750325.497732027
971,131343.00197035924
2611,142301.71761965653
1887,115397.88593088248
2399,372162.38430673315
2148,204994.32908376923
304,89784.60024000685
1997,125588.83181986536
2817,133818.02952221886
1431,205543.2660023762
427,379660.2448603858
263,112985.83618162073
598,169094.54530343422
2895,214595.2851008284
687,147146.3923825986
1822,131208.70225066523
2191,103546.61607778892
179,129856.43474092064
1009,210608.53918520897
2010,130475.95082671553
1991,123476.67390568327
1411,147431.44314308662
1721,248971.15017104405
1144,185813.04832877306
593,193123.01416409688
575,300923.58984206186
1249,137751.15657868917
1604,138357.31081975286
1064,527012.7560457191
1923,156621.8595056024
1988,91744.53959429855
2325,178215.2328084529
114,211914.61973968334
2700,166846.1201761694
217,108708.77058385985
343,170692.44868408758
386,240117.46557216265
2005,134145.87801004373
2908,148343.47998116745
1814,219678.74931428512
2446,487839.56480497157
208,179922.07836638484
1679,101152.2453952627
822,358783.9793550557
6,181044.11926508602
1781,401178.3021257386
2397,300334.2212414441
