Id,SalePrice
2658,137730.17744123307
2718,225357.7017799383
2414,198339.11181851785
1989,120141.0356323595
625,192533.07670659065
333,96457.15223747502
1327,109749.1820556103
858,163656.03140992325
95,196446.78295027532
1568,154463.15000243753
2482,167940.6310048995
1364,118699.92890198436
2584,157273.6400389703
818,293545.94456226326
2673,157924.4319771236
2089,149216.13225773227
1297,158931.49806781768
790,111530.43948323654
2616,181153.3913485726
720,194299.02457823555
222,147673.41944577068
557,109977.11813784989
1148,215415.86079232217
2766,163086.82755181173
534,195836.74935257246
1452,114646.17740607915
630,134917.8946175313
2648,137841.90970854682
125,148922.02317715564
1904,49569.45385016699
1670,98540.44518192469
756,94276.27208701745
717,266890.3470531142
1032,164698.0534288198
852,231897.2685992539
1731,169148.7842196267
2639,115388.29613972131
2071,90825.59593212385
1267,129927.07691177094
1851,198395.71652700118
567,167082.1968105599
2439,209570.02560193118
1898,151299.937763341
647,163356.5224601249
2256,241218.86185449024
979,120613.92690353951
1444,223525.08254688254
2485,105397.60719881767
157,118585.1660887062
88,107855.95738591852
2003,103135.67646279497
186,191013.5007950585
1425,280825.8012535302
2695,138244.4824267746
738,104873.70726229217
395,142193.07733494666
1353,153072.47139663735
1878,141844.2491739589
390,147069.39515468248
1456,229712.7264969239
1103,310421.3602141954
1387,111295.1085505667
2070,155138.14013076978
1199,167635.01953321855
2479,172005.06981450258
501,336318.4453579879
2362,88754.98705440278
1718,218735.45143937835
2188,86164.5808341083
1483,183724.56020901437
2557,83884.7342737408
437,343427.6710956402
2224,206502.6696832029
1628,177707.10254351434
397,131480.9064588441
587,215376.90436185664
2182,698026.5444805282
971,152695.51273519994
2611,138628.93256514086
1887,109205.72032218701
2399,357477.11427450646
2148,218165.44186838833
304,117190.5279821784
1997,139873.73628682666
2817,113628.94287445181
1431,186496.04334588393
427,429497.5165942117
263,117249.08255868431
598,168422.6337527682
2895,235325.17038891817
687,140129.3552021687
1822,124828.76311684019
2191,104286.52509787984
179,126307.89389109261
1009,203574.10872413922
2010,116922.33463342136
1991,143558.8275880005
1411,167332.37526442838
1721,248992.33565326384
1144,185598.50080839073
593,201810.44806748873
575,289041.92872653523
1249,176792.6204368922
1604,108957.12929749621
1064,470995.4151609922
1923,157059.50586648227
1988,115936.69508441344
2325,168486.89454411747
114,196731.43736183477
2700,191265.87365719685
217,104292.50546994685
343,166120.0351463047
386,233567.8964077629
2005,128292.72085318153
2908,137476.00176550486
1814,233711.9839719421
2446,495032.12447788287
208,138509.31674795924
1679,114664.32135811046
822,355447.3437871869
6,172138.1380735506
1781,398348.84805601044
2397,276822.124235959
2340,305192.7946709959
1618,158283.98789418035
2843,142089.26626724875
